t,X,Y,Z
1.966,422,253,1.021975
1.994,408,331,1.034223
2.026,408,331,1.036026
2.064,408,331,1.036972
2.093,408,331,1.037622
2.126,407,330,1.038095
2.165,407,331,1.039067
2.195,406,331,1.039604
2.226,406,331,1.039923
2.262,401,203,1.049416
2.294,388,173,1.048857
2.326,387,172,1.048633
2.362,386,170,1.049047
2.394,397,261,1.082716
2.425,385,315,1.152369
2.464,384,315,1.156018
2.494,384,315,1.154832
2.526,384,314,1.151426
2.561,384,314,1.150091
2.594,382,315,1.153039
2.629,383,313,1.147824
2.661,384,313,1.1459
2.693,388,270,1.067896
2.73,387,271,1.066825
2.763,386,273,1.066609
2.793,383,275,1.064704
2.83,376,285,1.059579
2.862,384,276,1.064372
2.894,384,275,1.064361
2.931,384,275,1.064438
2.963,385,275,1.064625
2.995,385,275,1.064984
3.03,376,286,1.06003
3.063,385,275,1.065052
3.097,385,275,1.065486
3.131,385,275,1.065971
3.161,384,275,1.067361
3.193,384,279,1.072338
3.229,384,278,1.07177
3.262,384,278,1.071427
3.293,376,298,1.058877
3.33,384,281,1.072682
3.362,366,314,1.098106
3.394,374,293,1.10918
3.429,364,315,1.098651
3.462,364,315,1.098572
3.495,364,315,1.098476
3.529,370,273,1.043283
3.562,371,273,1.038911
3.594,369,276,1.031008
3.63,372,277,1.030818
3.662,372,276,1.028084
3.693,383,258,1.031573
3.729,374,271,1.02838
3.762,369,282,1.025092
3.797,369,282,1.024631
3.83,374,270,1.028001
3.863,373,269,1.02808
3.898,367,278,1.026712
3.932,366,277,1.027815
3.963,362,279,1.030092
3.999,346,220,0.9934191
4.03,347,212,1.002384
4.064,345,209,1.012332
4.098,342,205,1.0264
4.13,337,201,1.036445
4.162,335,201,1.043987
4.198,336,200,1.048461
4.229,335,199,1.059875
4.263,333,199,1.070116
4.3,335,199,1.081555
4.33,337,199,1.084893
4.363,339,200,1.088711
4.397,341,201,1.09335
4.43,343,202,1.100039
4.462,342,204,1.104338
4.498,342,205,1.108748
4.529,342,204,1.106803
4.564,343,203,1.102922
4.597,353,205,1.104137
4.63,371,209,1.090281
4.665,371,210,1.090407
4.699,372,212,1.091916
4.729,373,215,1.092163
4.764,373,218,1.095385
4.797,373,219,1.095771
4.83,374,218,1.091892
4.864,374,217,1.088643
4.899,375,215,1.084215
4.931,376,214,1.082662
4.963,376,214,1.076563
4.998,378,218,1.066373
5.03,378,218,1.066227
5.067,377,233,1.072995
5.099,375,240,1.073009
5.129,370,247,1.071878
5.165,365,248,1.069602
5.197,363,250,1.065442
5.228,362,251,1.061516
5.265,360,252,1.061094
5.296,365,260,1.055897
5.329,361,259,1.056221
5.365,358,259,1.05683
5.397,357,259,1.054095
5.431,357,259,1.054013
5.465,356,260,1.052967
5.496,376,208,1.074446
5.528,375,208,1.074313
5.564,375,208,1.074325
5.596,375,208,1.074314
5.628,374,208,1.07419
5.665,374,207,1.073969
5.696,375,207,1.073873
5.729,375,207,1.073745
5.766,375,206,1.073861
5.797,374,207,1.073937
5.829,374,207,1.07375
5.866,374,206,1.073561
5.898,374,205,1.073087
5.93,374,204,1.073095
5.966,374,204,1.073199
5.997,374,204,1.073144
6.029,375,204,1.072899
6.065,357,260,1.040117
6.098,376,208,1.069665
6.129,376,207,1.069851
6.165,357,260,1.039587
6.196,357,261,1.038968
6.233,377,209,1.067113
6.266,376,208,1.067586
6.296,356,260,1.038619
6.333,376,207,1.069006
6.365,357,260,1.03926
6.396,356,260,1.038984
6.434,377,209,1.068065
6.464,357,261,1.037958
6.498,377,210,1.067858
6.532,376,208,1.06866
6.565,376,207,1.069158
6.598,357,260,1.038117
6.636,357,261,1.037346
6.665,356,259,1.038609
6.696,376,209,1.068354
6.732,376,209,1.068451
6.765,356,260,1.037299
6.796,376,210,1.06737
6.833,376,208,1.067836
6.866,379,211,1.06549
6.901,377,208,1.066834
6.935,379,211,1.065342
6.966,378,209,1.066943
6.998,377,209,1.06738
